电影名,国家,导演及主演,年份,评分,引言,链接,类型
爱在午夜降临前,美国 希腊,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,                            2013,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/,剧情爱情
绿里奇迹,美国,导演:弗兰克·德拉邦特FrankDarabont   主演:汤姆·汉克斯TomHanks/...,                            1999,8.9,天使暂时离开。,https://movie.douban.com/subject/1300374/,犯罪剧情奇幻悬疑
记忆碎片,美国,导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...,                            2000,8.7,一个针管引发的血案。,https://movie.douban.com/subject/1304447/,犯罪剧情悬疑惊悚
岁月神偷,中国,导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...,                            2010,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/,剧情家庭
忠犬八公物语,日本,导演:神山征二郎SeijirôKôyama   主演:仲代达矢TatsuyaNakadai/...,                            1987,9.2,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/,剧情
疯狂的石头,中国,导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,                            2006,8.6,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/,喜剧犯罪
荒蛮故事,阿根廷 西班牙,导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...,                            2014,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/,剧情喜剧犯罪
雨中曲,美国,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly   主演:吉恩·...,                            1952,9.1,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/,喜剧歌舞爱情
小偷家族,日本,导演:是枝裕和HirokazuKoreeda   主演:中川雅也LilyFranky/安藤樱Sa...,                            2018,8.7,我们组成了家。,https://movie.douban.com/subject/27622447/,剧情犯罪家庭
2001太空漫游,英国 美国,导演:斯坦利·库布里克StanleyKubrick   主演:凯尔·杜拉KeirDullea/...,                            1968,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/,科幻惊悚冒险
小丑,美国 加拿大,导演:托德·菲利普斯ToddPhillips   主演:杰昆·菲尼克斯JoaquinPhoeni...,                            2019,8.7,,https://movie.douban.com/subject/27119724/,剧情犯罪惊悚
爆裂鼓手,美国,导演:达米恩·查泽雷DamienChazelle   主演:迈尔斯·特勒MilesTeller/...,                            2014,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/,剧情音乐
背靠背，脸对脸,中国,导演:黄建新JianxinHuang/杨亚洲YazhouYang   主演:牛振华ZhenhuaN...,                            1994,9.5,,https://movie.douban.com/subject/1307856/,剧情
无敌破坏王,美国,导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉...,                            2012,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/,喜剧动画奇幻冒险
无间道2,中国,导演:刘伟强/麦兆辉   主演:陈冠希EdisonChen/余文乐ShawnYue/曾...,                            2003,8.7,,https://movie.douban.com/subject/1307106/,剧情犯罪惊悚
贫民窟的百万富翁,英国,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...,                            2008,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/,剧情爱情
冰川时代,美国,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...,                            2002,8.6,松鼠才是角儿。,https://movie.douban.com/subject/1291578/,喜剧动画冒险
心灵奇旅,美国,导演:彼特·道格特PeteDocter/凯普·鲍尔斯KempPowers   主演:杰米·...,                            2020,8.7,,https://movie.douban.com/subject/24733428/,动画奇幻音乐
