电影名,国家,导演及主演,年份,评分,引言,链接,类型
大话西游之大圣娶亲,中国,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,                            1995,9.2,一生所爱。,https://movie.douban.com/subject/1292213/,喜剧爱情奇幻古装
熔炉,韩国,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJung/...,                            2011,9.4,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,剧情
教父,美国,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,                            1972,9.3,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,剧情犯罪
触不可及,法国,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,                            2011,9.3,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,剧情喜剧
当幸福来敲门,美国,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,                            2006,9.2,平民励志片。 ,https://movie.douban.com/subject/1849031/,剧情传记家庭
怦然心动,美国,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...,                            2010,9.1,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,剧情喜剧爱情
龙猫,日本,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,                            1988,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,动画奇幻冒险
末代皇帝,中国,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...,                            1987,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,剧情传记历史
寻梦环游记,美国,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...,                            2017,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,喜剧动画奇幻音乐
活着,中国,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,                            1994,9.3,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,剧情历史家庭
蝙蝠侠：黑暗骑士,美国 英国,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,                            2008,9.2,无尽的黑暗。,https://movie.douban.com/subject/1851857/,剧情动作科幻犯罪惊悚
哈利·波特与魔法石,美国 英国,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,                            2001,9.2,童话世界的开端。,https://movie.douban.com/subject/1295038/,奇幻冒险
指环王3：王者无敌,美国 新西兰,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2003,9.3,史诗的终章。,https://movie.douban.com/subject/1291552/,剧情动作奇幻冒险
乱世佳人,美国,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...,                            1939,9.3,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,剧情历史爱情战争
我不是药神,中国,导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...,                            2018,9.0,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/,剧情喜剧
飞屋环游记,美国,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...,                            2009,9.1,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/,剧情喜剧动画冒险
素媛,韩国,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,                            2013,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,剧情
哈尔的移动城堡,日本,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...,                            2004,9.1,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/,动画奇幻冒险
十二怒汉,美国,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,                            1957,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/,剧情
何以为家,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...,                            2018,9.1,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,剧情
摔跤吧！爸爸,印度,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...,                            2016,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,剧情传记运动家庭
让子弹飞,中国,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,                            2010,9.0,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,剧情喜剧动作西部
鬼子来了,中国,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...,                            2000,9.3,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,剧情喜剧
猫鼠游戏,美国 加拿大,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...,                            2002,9.1,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/,传记犯罪剧情
少年派的奇幻漂流,中国,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,                            2012,9.1,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,剧情奇幻冒险
天空之城,日本,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...,                            1986,9.2,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/,动画奇幻冒险
海蒂和爷爷,德国 瑞士,导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...,                            2015,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,剧情冒险家庭
钢琴家,英国 法国 波兰 德国,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...,                            2002,9.3,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/,剧情传记战争音乐
大话西游之月光宝盒,中国,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,                            1995,9.0,旷古烁今。,https://movie.douban.com/subject/1299398/,喜剧爱情奇幻古装
指环王2：双塔奇兵,美国 新西兰,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2002,9.2,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,剧情动作奇幻冒险
闻香识女人,美国,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...,                            1992,9.1,史上最美的探戈。,https://movie.douban.com/subject/1298624/,剧情
罗马假日,美国,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...,                            1953,9.1,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/,喜剧剧情爱情
天堂电影院,意大利 法国,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:菲利普·努瓦雷Philipp...,                            1988,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/,剧情爱情
死亡诗社,美国,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...,                            1989,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,剧情
绿皮书,中国,导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...,                            2018,8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,剧情喜剧传记音乐
大闹天宫,中国,导演:万籁鸣LaimingWan   主演:邱岳峰YuefengQiu/富润生RunshengFu...,                            1961 ,9.4,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/, 剧情动画奇幻古装
指环王1：护戒使者,新西兰 美国,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2001,9.1,传说的开始。,https://movie.douban.com/subject/1291571/,剧情动作奇幻冒险
黑客帝国,美国,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...,                            1999,9.1,视觉革命。,https://movie.douban.com/subject/1291843/,动作科幻
教父2,美国,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,                            1974,9.3,优雅的孤独。,https://movie.douban.com/subject/1299131/,剧情犯罪
狮子王,美国,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...,                            1994,9.1,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/,动画冒险歌舞
辩护人,韩国,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...,                            2013,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,剧情
饮食男女,中国,导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,                            1994,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/,剧情家庭
搏击俱乐部,美国,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...,                            1999,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/,剧情动作悬疑惊悚
美丽心灵,美国,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...,                            2001,9.1,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/,传记剧情
本杰明·巴顿奇事,美国,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...,                            2008,9.0,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,剧情爱情奇幻
穿条纹睡衣的男孩,英国 美国,导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...,                            2008,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,剧情战争
窃听风暴,德国,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...,                            2006,9.2,别样人生。,https://movie.douban.com/subject/1900841/,剧情悬疑
情书,日本,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...,                            1995,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/,剧情爱情
两杆大烟枪,英国,导演:盖·里奇GuyRitchie   主演:杰森·弗莱明JasonFlemyng/德克斯特...,                            1998,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/,剧情喜剧犯罪
西西里的美丽传说,意大利 美国,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...,                            2000,8.9,美丽无罪。,https://movie.douban.com/subject/1292402/,剧情战争情色
音乐之声,美国,导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...,                            1965,9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/,剧情传记爱情歌舞
看不见的客人,西班牙,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...,                            2016,8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,剧情犯罪悬疑惊悚
阿凡达,美国,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...,                            2009,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,动作科幻冒险
拯救大兵瑞恩,美国,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,                            1998,9.1,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/,剧情战争
小鞋子,伊朗,导演:马基德·马基迪MajidMajidi   主演:默罕默德·阿米尔·纳吉Mohamma...,                            1997,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/,剧情儿童家庭
飞越疯人院,美国,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,                            1975,9.1,自由万岁。,https://movie.douban.com/subject/1292224/,剧情
哈利·波特与死亡圣器(下),美国 英国,导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,                            2011,9.0,10年的完美句点。,https://movie.douban.com/subject/3011235/,奇幻冒险
沉默的羔羊,美国,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...,                            1991,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/,剧情犯罪惊悚
布达佩斯大饭店,美国 德国 英国,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...,                            2014,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,剧情喜剧冒险
禁闭岛,美国,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,                            2010,8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,剧情悬疑惊悚
蝴蝶效应,美国 加拿大,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...,                            2004,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,剧情悬疑科幻惊悚
致命魔术,英国 美国,导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...,                            2006,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,剧情悬疑惊悚
功夫,中国,导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...,                            2004,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,动作喜剧犯罪奇幻
心灵捕手,美国,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...,                            1997,8.9,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/,剧情
海豚湾,美国,导演:路易·西霍尤斯LouiePsihoyos   主演:路易·西霍尤斯LouiePsihoyo...,                            2009,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,纪录片
哈利·波特与阿兹卡班的囚徒,英国 美国,导演:AlfonsoCuarón   主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...,                            2004,8.9,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/,奇幻冒险
低俗小说,美国,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...,                            1994,8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/,剧情喜剧犯罪
春光乍泄,中国,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...,                            1997,9.0,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/,剧情爱情同性
美国往事,美国 意大利,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...,                            1984,9.2,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/,犯罪剧情
超脱,美国,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...,                            2011,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/,剧情
摩登时代,美国,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...,                            1936,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/,剧情喜剧爱情
喜剧之王,中国,导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...,                            1999,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/,喜剧剧情爱情
致命ID,美国,导演:詹姆斯·曼高德JamesMangold   主演:约翰·库萨克JohnCusack/雷...,                            2003,8.9,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/,剧情悬疑惊悚
杀人回忆,韩国,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,                            2003,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/,剧情动作犯罪悬疑惊悚
七宗罪,美国,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...,                            1995,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/,剧情犯罪悬疑惊悚
红辣椒,日本,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/江守彻Toru...,                            2006,9.1,梦的勾结。,https://movie.douban.com/subject/1865703/,动画悬疑科幻惊悚
加勒比海盗,美国,导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...,                            2003,8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/,动作冒险奇幻
哈利·波特与密室,英国 美国,导演:ChrisColumbus   主演:丹尼尔·雷德克里夫DanielRadcliffe/艾玛...,                            2002,8.9,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/,奇幻冒险
狩猎,丹麦 瑞典,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...,                            2012,9.1,人言可畏。,https://movie.douban.com/subject/6985810/,剧情
一一,中国,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...,                            2000,9.1,我们都曾经是一一。,https://movie.douban.com/subject/1292434/,剧情爱情家庭
7号房的礼物,韩国,导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...,                            2013,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/,剧情喜剧家庭
被嫌弃的松子的一生,日本,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...,                            2006,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/,剧情歌舞
唐伯虎点秋香,中国,导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...,                            1993,8.7,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/,喜剧爱情古装
请以你的名字呼唤我,意大利 法国 巴西 美国,导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/...,                            2017,8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/,剧情爱情同性
断背山,美国 加拿大,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,                            2005,8.8,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/,剧情爱情同性家庭
剪刀手爱德华,美国,导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·...,                            1990,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/,剧情奇幻爱情
入殓师,日本,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...,                            2008,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/,剧情
爱在黎明破晓前,美国 奥地利 瑞士,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,                            1995,8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/,剧情爱情
勇敢的心,美国,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...,                            1995,8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/,动作传记剧情历史战争
第六感,美国,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...,                            1999,8.9,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/,剧情悬疑惊悚
蝙蝠侠：黑暗骑士崛起,美国 英国,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,                            2012,8.8,诺兰就是保证。,https://movie.douban.com/subject/3395373/,剧情动作科幻犯罪惊悚
重庆森林,中国,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...,                            1994,8.8,寂寞没有期限。,https://movie.douban.com/subject/1291999/,剧情爱情
幽灵公主,日本,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...,                            1997,8.9,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/,动画奇幻冒险
超能陆战队,美国,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...,                            2014,8.7,Balalala~~~,https://movie.douban.com/subject/11026735/,喜剧动作科幻动画冒险
爱在日落黄昏时,美国 法国,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,                            2004,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/,剧情爱情
菊次郎的夏天,日本,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...,                            1999,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/,剧情喜剧
甜蜜蜜,中国,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...,                            1996,8.9,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/,剧情爱情
天使爱美丽,法国 德国,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...,                            2001,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/,剧情喜剧爱情
阳光灿烂的日子,中国,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao,                            1994,8.9,一场华丽的意淫。,https://movie.douban.com/subject/1291875/,剧情爱情
小森林 夏秋篇,日本,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,                            2014,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/,剧情
借东西的小人阿莉埃蒂,日本,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...,                            2010,8.9,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/,动画奇幻冒险
完美的世界,美国,导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...,                            1993,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/,剧情犯罪
无人知晓,日本,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...,                            2004,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/,剧情
消失的爱人,美国,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...,                            2014,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/,剧情犯罪悬疑惊悚
倩女幽魂,中国,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...,                            1987,8.8,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/,爱情奇幻武侠古装
寄生虫,韩国,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/李善均Seon-gyun...,                            2019,8.8,,https://movie.douban.com/subject/27010768/,剧情
时空恋旅人,英国,导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl...,                            2013,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/,喜剧爱情奇幻
侧耳倾听,日本,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...,                            1995,8.9,少女情怀总是诗。,https://movie.douban.com/subject/1297052/,剧情爱情动画
小森林 冬春篇,日本,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,                            2015,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/,剧情
幸福终点站,美国,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,                            2004,8.8,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/,喜剧剧情爱情
驯龙高手,美国,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...,                            2010,8.8,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/,动画奇幻冒险
教父3,美国,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,                            1990,9.0,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/,剧情犯罪
一个叫欧维的男人决定去死,瑞典,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...,                            2015,8.9,惠及一生的美丽。,https://movie.douban.com/subject/26628357/,剧情
未麻的部屋,日本,导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,                            1997,9.1,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/,动画奇幻惊悚
萤火之森,日本,导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...,                            2011,8.9,触不到的恋人。,https://movie.douban.com/subject/5989818/,剧情爱情动画奇幻
怪兽电力公司,美国,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...,                            2001,8.8,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/,儿童喜剧动画奇幻冒险
哈利·波特与火焰杯,英国 美国,导演:迈克·内威尔MikeNewell   主演:丹尼尔·雷德克里夫DanielRadclif...,                            2005,8.8,,https://movie.douban.com/subject/1309055/,悬疑奇幻冒险
傲慢与偏见,法国 英国 美国,导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...,                            2005,8.7,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/,剧情爱情
玩具总动员3,美国,导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...,                            2010,8.9,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/,喜剧动画奇幻冒险
新世界,韩国,导演:朴勋政Hoon-jungPark   主演:李政宰Jung-JaeLee/崔岷植Min-sik...,                            2013,8.9,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/,剧情犯罪
釜山行,韩国,导演:延尚昊Sang-hoYeon   主演:孔侑YooGong/郑有美Yu-miJung/马...,                            2016,8.6,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/,动作惊悚灾难
神偷奶爸,美国 法国,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...,                            2010,8.7,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/,喜剧动画冒险
被解救的姜戈,美国,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...,                            2012,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/,剧情动作西部冒险
玛丽和马克思,澳大利亚 美国,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...,                            2009,9.0,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/,剧情喜剧动画
告白,日本,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...,                            2010,8.8,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/,剧情悬疑
